Donor	Acceptor	Fluorescence	Luminescence	BRETratio
V2RRLuc	V2RVenus	0.450547	2.82803	0.01891357
V2RRLuc	V2RVenus	0.6531302	2.834636	0.04158329
V2RRLuc	V2RVenus	0.597783	2.871004	0.04255096
V2RRLuc	V2RVenus	0.6688786	2.893467	0.04378192
V2RRLuc	V2RVenus	0.176406	2.932213	0.01522242
V2RRLuc	b2AdRVenus	2.681652	0.2640262	0.06922556
V2RRLuc	b2AdRVenus	2.639992	0.309915	0.07094685
V2RRLuc	b2AdRVenus	2.562304	0.3834465	0.0617987
V2RRLuc	b2AdRVenus	2.092499	0.3878729	0.07003629
V2RRLuc	b2AdRVenus	2.73367	0.389722	0.07840493
V2RRLuc	b2AdRVenus	2.533065	0.407232	0.06509556
V2RRLuc	b2AdRVenus	2.396929	0.4154287	0.06801216
V2RRLuc	b2AdRVenus	1.283208	0.4208689	0.07111685
V2RRLuc	b2AdRVenus	1.268354	0.4343094	0.06781108
V2RRLuc	b2AdRVenus	2.046127	0.4411086	0.07533593
V2RRLuc	b2AdRVenus	0.2136354	0.4579095	0.01499774
V2RRLuc	b2AdRVenus	2.390475	0.4774795	0.06154278
V2RRLuc	b2AdRVenus	1.229481	0.4904456	0.07938941
V2RRLuc	b2AdRVenus	2.08712	0.5030061	0.07311203
V2RRLuc	b2AdRVenus	0.7198495	0.5190296	0.02705909
V2RRLuc	b2AdRVenus	2.190715	0.5281959	0.07124369
V2RRLuc	b2AdRVenus	1.873603	0.5336394	0.07329808
V2RRLuc	b2AdRVenus	2.76633	0.5430093	0.06311636
V2RRLuc	b2AdRVenus	2.21721	0.554886	0.06954608
V2RRLuc	b2AdRVenus	2.035758	0.5686938	0.06743475
V2RRLuc	b2AdRVenus	2.114665	0.662883	0.06425899
V2RRLuc	b2AdRVenus	2.154114	0.7220445	0.05879684
V2RRLuc	b2AdRVenus	1.410023	0.7260137	0.04868878
V2RRLuc	b2AdRVenus	1.373154	0.7650234	0.05270558
V2RRLuc	b2AdRVenus	0.6062189	0.8648199	0.02793653
V2RRLuc	b2AdRVenus	1.163566	0.8790078	0.05730467
V2RRLuc	b2AdRVenus	0.193719	0.9099452	0.005692828
V2RRLuc	b2AdRVenus	1.699644	0.9112464	0.05205636
V2RRLuc	b2AdRVenus	1.547141	0.9171406	0.04974913
V2RRLuc	b2AdRVenus	1.092036	0.9509609	0.0444646
V2RRLuc	b2AdRVenus	0.94978	0.9793642	0.02998358
V2RRLuc	b2AdRVenus	0.2900217	0.9872406	0.0122727
V2RRLuc	b2AdRVenus	1.232918	1.019692	0.05848264
V2RRLuc	b2AdRVenus	1.782655	1.023541	0.06235592
V2RRLuc	b2AdRVenus	0.4810563	1.032524	0.03036045
V2RRLuc	b2AdRVenus	0.3365811	1.039585	0.009137316
V2RRLuc	b2AdRVenus	1.410084	1.051093	0.04930533
V2RRLuc	b2AdRVenus	1.006866	1.059386	0.0470392
V2RRLuc	b2AdRVenus	0.4301822	1.086646	0.02031944
V2RRLuc	b2AdRVenus	0.362519	1.158095	0.01096779
V2RRLuc	b2AdRVenus	1.520066	1.163356	0.04844484
V2RRLuc	b2AdRVenus	0.473601	1.204259	0.01750005
V2RRLuc	b2AdRVenus	1.463004	1.206849	0.0497738
V2RRLuc	b2AdRVenus	0.843694	1.215339	0.03944248
V2RRLuc	b2AdRVenus	1.342751	1.219939	0.05062069
V2RRLuc	b2AdRVenus	0.2859714	1.222565	0.0003551
V2RRLuc	b2AdRVenus	1.401047	1.239359	0.05852897
V2RRLuc	b2AdRVenus	1.666927	1.246263	0.05321437
V2RRLuc	b2AdRVenus	0.8936027	1.247722	0.02870198
V2RRLuc	b2AdRVenus	1.000991	1.293563	0.02786813
V2RRLuc	b2AdRVenus	0.7866084	1.304398	0.03748649
V2RRLuc	b2AdRVenus	0.9974539	1.309835	0.03902411
V2RRLuc	b2AdRVenus	0.9144014	1.374506	0.03232821
V2RRLuc	b2AdRVenus	0.564648	1.397836	0.01967135
V2RRLuc	b2AdRVenus	0.2457217	1.407183	0.004800599
V2RRLuc	b2AdRVenus	1.554667	1.411586	0.03924435
V2RRLuc	b2AdRVenus	0.5504807	1.42804	0.0182134
V2RRLuc	b2AdRVenus	0.9870703	1.485209	0.04714464
V2RRLuc	b2AdRVenus	0.4596449	1.493427	0.02248255
V2RRLuc	b2AdRVenus	0.3734596	1.499619	0.01588672
V2RRLuc	b2AdRVenus	0.3478863	1.520724	0.01199479
V2RRLuc	b2AdRVenus	0.9688628	1.532647	0.01697288
V2RRLuc	b2AdRVenus	0.5497815	1.59084	0.02169187
V2RRLuc	b2AdRVenus	0.9665388	1.595063	0.03282798
V2RRLuc	b2AdRVenus	1.927246	1.59937	0.0480113
V2RRLuc	b2AdRVenus	1.093999	1.623617	0.03205637
V2RRLuc	b2AdRVenus	0.5653952	1.664697	0.01935483
V2RRLuc	b2AdRVenus	1.034474	1.840607	0.03415298
V2RRLuc	b2AdRVenus	1.119511	1.850533	0.02873873
V2RRLuc	b2AdRVenus	1.092641	1.864626	0.02412392
V2RRLuc	b2AdRVenus	1.756572	2.052847	0.03704529
V2RRLuc	b2AdRVenus	0.6062796	2.07325	0.01404454
